fen,eval
r1Bq2n1/1pp1k2r/p2p3p/6p1/4P1Q1/2N3P1/PPPP1K1P/R1B3R1 w - - 3 15,+1195
1n5r/2p3kp/4Qn2/1b3p2/1PP5/8/6B1/1N3K2 b - - 2 28,+138
6n1/1p6/3k4/p2p1qpr/3N4/2NP1p2/P3P1P1/RK3B2 w - - 2 25,+551
rnbq1bn1/p2pk3/2p2pp1/1P2p1p1/6P1/N6r/PP1PPP1P/1RB1K1NR w K - 0 9,-1123
r1bqkbnr/ppp1pppp/n7/3p4/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq - 0 3,-143
8/5k2/8/8/QP1p2p1/R5p1/2PN4/3K4 w - - 0 50,#+3
r4q2/R2bk3/7n/3p4/1P6/1N1P1P2/3K1P1P/8 b - - 2 27,-1556
6b1/pr4b1/pkn5/2p5/P4p2/7K/8/8 w - - 5 42,-6410
1n6/3k4/8/P1p5/3n1P2/N7/P4K2/5RRB b - - 12 37,+1336
rn3kr1/1R3p2/8/3pP2p/1P6/7B/8/1N3K1R w - - 1 25,+429
r1bqkb1r/1pp1p1np/n7/8/P3p3/5P2/2PPN2P/RN1QK2R w KQkq - 0 12,-1106
3k2n1/1p6/8/2R1N3/2PP4/2PbK3/5p1r/5B2 w - - 1 36,+724
r1bqk1nr/ppppp2p/7b/6p1/1n6/N1P1PP1N/PP1P2PR/R1BQKB2 w Q - 3 9,+733
r1b1k1nr/p1q2pb1/1P5p/3pp1pP/8/2PB4/PP1P1PPR/RNBQK1N1 b Qkq - 0 11,+330
r2q2nr/p4kbp/8/1pnpB3/P1P5/7b/2BP1PPP/RN2K1NR w KQ - 0 16,-939
r3kb1r/p1ppnppp/b7/4p3/2P5/1P1P2P1/PRn1PP1P/1Q2KBNR w Kkq - 2 11,+831
2Bk2nr/p1p5/4P1Np/8/p4P2/8/3KP2P/R5R1 b - - 0 30,+1464
r1B2bnr/p1p2ppp/2nkq3/3pp3/1P1P3P/B1P1P3/P4PP1/RN1QK1NR w KQ - 1 10,+2014
5knr/1b2P3/8/7p/P6P/8/8/RN1K4 b - - 0 39,-332
n4k2/8/6p1/4b1K1/P7/8/8/8 b - - 7 46,-823
8/8/8/1p5k/1p1p4/1B6/6P1/2K5 b - - 9 46,+228
5k2/8/5n2/4ppp1/N2P3p/2P4P/6K1/5B1R b - - 0 37,+806
3k2r1/6p1/p3Q1p1/2r5/7P/4R3/P2N1K1P/6NR b - - 3 27,+2167
6n1/5k2/8/3p3R/8/3P1PP1/5K2/5B2 b - - 2 33,+937
k7/8/3N4/8/2P2P2/4P1P1/2K4P/7R b - - 2 37,+5867
r2qkb2/p2pp1p1/3p4/8/1P6/8/2PPPPp1/R1BQK3 w Qq - 0 17,-1225
r1b5/2pn4/2p5/1p1p1k2/P2P4/q7/R3P3/1N2K1N1 w - - 5 31,-332
3k3r/1p2ppBp/6p1/4n3/1p6/7P/PP5P/RN3KNR b - - 0 19,+1585
8/1p2b2p/p7/4k3/2p5/1n4r1/8/4K3 b - - 1 37,#-6
8/8/1k6/5r2/P2K4/8/5RQR/2B5 b - - 14 43,#+5
3q1bn1/r1N2p2/3kppn1/p2p4/3Q2r1/P4K2/1PP1NB1P/R3R3 b - - 11 24,-861
2kr1bn1/p1pp2pr/7p/1P6/6Q1/1P1KP3/2PP3P/RNB2BNb b - - 0 17,+975
rnb1k1nr/p2ppp2/2p3pb/1Q5p/3PP3/P1P1Bq2/RPK2P1R/1N3BN1 b q - 5 14,-896
5Rn1/2r5/8/4B2p/4p2P/2N1P3/1k6/3K4 w - - 9 44,#+3
3r4/3k4/1p6/p3b3/5P1r/8/3p2K1/8 w - - 2 46,-7311
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,+50
r1bq1bnr/p2p1ppp/2p1k3/1p2p3/Pn6/B2P3N/2P1PPPP/RN1QKB1R w KQ - 0 8,+273
q4Nn1/p5p1/5k1r/7p/P1p4P/2P5/1r6/3K3R b - - 2 36,#-1
rnb1kbnr/pp1pp1p1/1q5p/2p2P2/4P3/8/PPPP1PBP/RNBQK1NR w KQkq - 2 5,+444
1rbb2n1/p2p1k2/PBp5/6p1/2P3P1/3P1p1r/8/5KN1 w - - 1 26,-1699
r1bqkb1r/pppppppp/7n/8/1n1P1P2/8/P1P1P1PP/RNBQKBNR w KQkq - 0 4,-65
1rq1kb1r/p1pnpp1p/5p1n/8/1P2P2P/P6R/2R5/3bK3 w k - 2 22,-2061
8/1B6/8/6k1/8/5P2/4K3/8 b - - 1 50,+1256
1Q4n1/p1p4k/b5p1/4p3/P3p3/N7/3PK3/r7 w - - 1 27,+19
7K/3k4/n7/6P1/2r5/8/r4r2/8 w - - 8 44,-2201
r5Rr/p1p2k2/3q4/1B3P2/3bP3/P2P1K1P/2P5/2B3NR w - - 0 28,+429
5B1k/8/1p3p2/3p4/8/1P1N4/4N3/4KB1q w - - 0 37,+313
rnbqkb1r/pppp2pp/7n/4pp2/7P/2NP4/PPP1PPP1/R1BQKBNR w KQkq - 0 4,+236
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+35
3n2B1/1k5p/8/6p1/3K2b1/P3P3/7P/2b3R1 w - - 0 29,+780
rnbqkb1r/2p1ppp1/p6p/3p3n/p1QP4/4B3/PPP1PPPP/R3KBNR w KQkq - 2 8,-688
4k3/4pp2/1p5b/1p6/5rn1/1b4K1/8/8 b - - 13 39,-7431
8/8/p7/6k1/3P4/1P4p1/6K1/8 w - - 1 46,+625
r1b3nr/3p4/n3k3/pp2N2p/P2P4/1PB5/3R1KP1/5B2 b - - 2 32,-408
8/8/4kP2/7N/1Q5P/2KP4/2P5/8 b - - 4 48,+7374
4r3/1P3k2/6pp/8/5p1n/3P1P2/1N1N4/5KR1 b - - 2 50,+767
5B2/p2k4/p5p1/4P1N1/7P/2rP2P1/1R3KB1/Q7 w - - 1 37,#+3
2r5/6pp/2P3kn/5p2/1pB5/4pN2/6PP/RN3K1R b - - 0 20,+1158
2kr1b2/pp2p3/n4pBp/2p5/3Pp1P1/7N/NPPK2P1/4R2R w - - 0 21,+1044
rn2k1nr/ppp4p/4b3/R2p4/5P2/2NP3P/1PP1P3/4KB1R b Kkq - 0 16,-451
2k5/8/p3p3/2p1P3/8/BPRPr2R/8/3K4 b - - 3 38,+652
8/1P5R/n3p3/1k4B1/p5P1/P7/8/4KR2 b - - 1 46,+1748
6k1/1pK3p1/8/5P2/8/p5rB/8/8 b - - 3 45,-1562
rnbqkbnr/p1ppppp1/1p5p/8/4P3/7P/PPPP1PP1/RNBQKBNR w KQkq - 0 3,+103
B3k3/2p3Pr/3pp3/p6p/1P3P2/P3P3/PB3K1P/R6R w - - 0 25,#+6
rnbq1br1/1ppk2p1/p2p3p/4p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 w - - 0 7,+412
1r5r/Q1pkppb1/1p6/3n4/8/5P2/1P1PPK2/RNB3N1 w - - 0 21,+889
3r1kn1/8/8/1p3P1P/8/p3RP2/N2K3R/8 w - - 1 41,+774
rn2kbn1/2p1p3/2q2p1r/1p5p/3P1Pb1/P1P3P1/1P2N2P/RNB1KB1R b KQq - 0 13,-1689
1nbq1b2/1p1kppp1/2p5/r4r2/p1p3QP/K2PPN2/PP4P1/RN3B1R b - - 1 19,-1075
6k1/5p2/5R2/3pp3/6P1/2P4K/8/4r3 w - - 1 44,-202
1n1q2k1/2p1ppbr/1p1p4/8/2R5/4P1P1/2PP1P2/1N1QKB2 b - - 4 15,+3
1rkq4/4n3/3b2P1/Rp2p3/P3Pp1R/1P1P4/5K2/2BN1b2 w - - 0 29,-850
7r/5k2/8/2p5/2P5/6K1/3R4/8 b - - 2 32,0
3k4/8/4p1p1/2P3P1/2P3n1/3K4/3N2P1/4r3 b - - 0 39,-664
r1b2k2/8/pr1q4/3pp1p1/P7/5P2/8/2K5 b - - 0 42,#-4
8/5r2/P6R/5k2/2P2p2/3P1n2/6K1/8 b - - 0 41,-316
2r5/2k5/4PB2/3p1K2/2p5/4P2B/8/6N1 b - - 1 40,+822
2b5/3p2k1/2n5/1p3P2/1p3P2/3P2P1/4r3/b5K1 b - - 3 29,#-6
8/7B/8/2k1P1N1/K5P1/8/1P6/8 w - - 2 48,+1608
3N4/8/1P3k2/7p/p7/8/2K5/8 b - - 0 50,+1089
1n1k4/N7/1N5p/8/3P4/1K6/8/5R2 b - - 7 50,+1018
r5n1/3b1pp1/4k2r/8/1QN2PPp/1P1Pq2B/2P1P2P/4K2R w K - 3 20,#+1
rnbqkb1r/pp1pp1pR/8/2p5/P4P2/3p4/1PPP2P1/RNB1K1N1 w Qkq - 0 8,-746
rnbqkb1r/pppppp1p/5np1/8/8/3P4/PPPQPPPP/RNB1KBNR w KQkq - 2 3,-50
1nbq1br1/1pppk2p/r7/p2P3p/P7/1PP3P1/3N1P2/R2K4 b - - 1 20,-2166
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,+30
7N/2k4p/prp5/7P/5P2/8/4R3/1n2K3 b - - 2 49,-13
r2k1br1/p1p2Qp1/b2q4/P3p2n/3p2p1/N3PR2/R2P1PP1/2B1K3 w - - 1 20,-421
5b2/3r4/2k4p/2p1p2P/6r1/N3K3/7R/5R2 w - - 2 37,-131
r1b2b2/4kp1B/pn2p3/1p6/PPP2r2/R4p2/5B2/1N1K4 b - - 2 24,-1208
4R3/8/6k1/1p5p/3P3P/1p3P2/3K4/6N1 w - - 10 50,+1175
5B2/7N/2k5/p1p5/P1P1r3/8/2P4K/8 w - - 0 48,-92
1n2k3/r5R1/Rp2Kb1n/2p5/5P2/8/4N1P1/8 b - - 2 23,-718
1n3b2/2Bb3r/p6p/5k1p/7q/8/6K1/6R1 w - - 3 31,-6411
1nb1k3/r1p2p1p/pp6/3PP3/1PP4Q/7N/1P3KBP/RNB4R w - - 1 15,+3802
r5n1/pp6/2k1q3/n1p5/8/6K1/8/8 w - - 13 46,-8146
6r1/8/2k1p1R1/p3b3/4N2p/2N5/P7/3K4 w - - 0 39,+730
1rb3nr/1ppk4/pn4p1/4p1PR/1p2N3/3P4/4PK2/3R1BN1 b - - 0 29,-900
4k1n1/2Q1q1b1/3p1p2/5p2/1P6/P2P1P2/8/R3K3 w - - 1 29,+141
r1k5/4R3/8/p6p/7N/N7/3BK1PP/1R6 b - - 0 27,+1928
rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq - 1 1,-91
1n6/5Q2/3k4/2p3PB/1rP1P3/p7/P5PK/2B1N1N1 b - - 3 35,+2409
rnbqkb1r/p1pppppp/1p5n/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 3,-23
rnbqkbnr/ppppp1pp/5p2/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 0 2,+107
3k3r/1ppqn2p/6p1/8/1P3B2/1P3P1b/4P3/R3K1NR b K - 3 29,-310
1r5r/p4k2/1p2p2n/2pp3p/5b2/N1PPP3/PP1K4/R1BR4 w - - 2 21,+28
r1bqkb1r/4pnpp/p2p4/2p2P2/p7/N1P1P2N/PP1P2PP/R1B1K2R b KQkq - 0 9,-1236
r3k3/p7/p3p3/Pb4Bp/1pPNp3/6P1/3P1PRK/RN6 w q - 0 24,+1705
8/2k5/r7/5pp1/3P4/P3P2r/PB2N3/4KR2 w - - 0 29,+463
r1kq1bn1/1pp1pp2/n2p4/p5pp/3PP3/1P3N2/P1P2PB1/RNKQ1R2 b - - 5 13,+507
r1bqkbn1/pp1npp2/3p4/2p5/2P3P1/1P3P2/P2PP3/RNBQKB1r w Qq - 0 8,-1134
r1bq3b/1p1kpp1r/1pp3p1/7p/7P/4P2R/P2N1PP1/R1BK1B2 w - - 0 16,-1148
k7/8/4P3/3R3K/PP6/8/8/6N1 w - - 3 50,#+4
6rk/r6p/p2pP3/P1P5/7P/1P6/8/3K4 w - - 1 37,-945
r1bqkbnr/2pppp1p/1p1B2p1/p7/6P1/1P1P4/PP1KPP1P/RN1Q1BNR b kq - 1 7,-193
4k3/4np1N/1rp5/Qb6/2pP4/7p/7P/5KR1 w - - 6 31,+1253
6n1/7r/5pk1/4P3/6P1/1R6/3KNP2/7R b - - 0 32,+415
1nbqk1nr/r2ppp2/7p/3p2p1/1PP3P1/2P5/1P2PP1P/2B1KBNR w Kk - 0 11,-1570
rnbqkbnr/1B1pp1p1/p4p1p/8/P1p3P1/2N5/1PPPPP1P/1RBQK1NR b Kkq - 0 6,-656
2r5/2p3kp/1pq3p1/p3p3/8/3K3P/PP3r2/RN5R b - - 1 25,#-2
7k/1P6/7p/8/8/2R5/K6N/8 b - - 0 44,#+7
6k1/8/Q6p/p7/2p1P3/P1N1R2B/5P1P/3K3R b - - 0 32,#+4
r1bqkbnr/pppppp1p/2n3p1/8/8/3P1N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,+67
r1b1kbnr/pB1p1ppp/nq6/4p3/2P1P3/8/PP1P1PPP/RNBQK1NR b KQkq - 0 5,-434
rn1r4/2p2k1p/p3N1pn/P7/4p3/3Q4/2P1N2R/2R2K2 b - - 2 24,+603
2b1k3/1p1pn3/8/4q3/1r2P3/2P3N1/3P1PP1/2B1KB2 w - - 8 31,-764
8/4k3/8/2p1P2p/1p3p2/p7/P2K4/8 b - - 1 45,-1306
8/3N2k1/4b1p1/4P2p/7P/2p5/8/4K3 b - - 2 43,-1199
rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 2,+37
rnbk4/4n3/pPp4p/5N2/P7/8/1b1NBP1P/4K1R1 b - - 0 24,-670
1k4n1/8/1p5p/1N2P2N/1P6/4KP2/7R/N7 b - - 2 44,+1732
r1bqkbnr/ppppp1p1/2n2p1p/8/P7/R3P3/1PPP1PPP/1NBQKBNR w Kkq - 0 4,#+2
7k/8/8/B7/6P1/P4KN1/P6P/3R4 b - - 12 44,+7118
r1b1kr2/pp3p1p/2n5/2B3p1/4ppP1/1P5K/R3B1P1/1r5Q b q - 1 21,#-1
2b3kr/1r5p/N4b2/pB1p3P/4P1p1/P4N2/3q1PP1/R1B2K1R b - - 1 24,-1407
1RBk1bnr/8/2p5/5P1p/1NR5/pP1p4/3P1P2/3Q1K2 w - - 0 27,#+7
r1b1kb1r/n1p1pp1p/6pB/pp6/7N/Pq1P2P1/1PPQ1P1P/R3KBNR b KQkq - 3 13,+464
8/1b3p2/B3k3/6pp/4n3/3K1PPN/7P/4R3 b - - 1 36,+779
8/3n4/1k6/pN1p4/P2P2R1/8/8/2K5 w - - 10 46,+818
4r3/1k2p3/4Bp1p/B5p1/2p1p3/P3P1P1/P1P4N/5KR1 b - - 2 29,+1209
rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,-9
8/4n3/r3k1p1/4b3/3pKp1P/8/1Br2P2/1N3B2 w - - 4 32,-839
6nr/5pkp/n1b5/1p1p2qP/4P3/6p1/P5BR/1n3KN1 b - - 1 20,#-5
r1b1k1nr/pppp1p1p/4pP2/8/1nPP4/PQ2P3/P5PP/RNB1KBNR b KQkq - 0 8,+1727
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+41
2b3nr/p2k3p/q1p1p2b/2np1pp1/2RPP1P1/5P1P/P4BBR/5KN1 b - - 0 24,-1997
rn2k1n1/2p2N2/p3Bp1p/4B3/PP6/4P2b/5P1R/R3K3 w - - 0 26,+1225
8/8/Q7/1p2k3/6rp/P3P3/1P2K3/RN3B2 w - - 0 34,+7098
8/8/B5k1/8/P1KNP3/8/4P3/4R3 w - - 3 42,+6986
5br1/7p/np2kN1p/2p5/2K5/8/8/8 b - - 0 33,-6114
1rk2bnr/2p3B1/8/4Pn1p/2P5/1P3P2/4PKPP/1R1Q1BNR w - - 0 23,+1711
8/5kn1/7B/RP6/6b1/3n4/4NPPP/3K1BR1 b - - 0 37,+1649
rnbq1bnr/3ppkpp/5p2/1p6/P2P4/4P3/1PP2PPP/RNBQK1NR b KQ - 0 7,-404
1nb2bn1/1r2pk2/2p3pr/1p6/8/B2PP1PP/P7/R4KNR b - - 1 19,-1061
r1bqkbnr/ppp1ppp1/2np4/7p/8/2P1P1P1/PP1P1P1P/RNBQKBNR w KQkq - 0 4,-20
8/1Q6/P7/4n3/k7/2PB4/1B6/3R1KN1 b - - 4 34,#+1
rn1qk2r/R2pppb1/5np1/1p6/4P3/8/1PPP1K1P/1NB2B1R b kq - 0 14,-1904
r1b1kbr1/3p1p1p/p3P3/1pp2q1P/1P1n4/5N2/PQP1PP1P/RN2KBR1 b Qq - 0 13,-1006
rn3bn1/5k2/pp6/4p3/P2p2p1/R5P1/1PK4P/2B2N2 w - - 0 21,-987
rn5n/2p2k2/8/8/PN4b1/8/5K2/b3N3 b - - 0 36,-1067
1n3b2/2k1p3/6pn/2P5/1P1P4/1r5b/7P/6K1 w - - 0 32,-1812
6B1/1N2b1k1/2pn4/7p/8/8/8/1K6 b - - 10 48,-877
2r1R2r/7k/n6n/5p1p/5P1P/2p5/P7/2R2K2 b - - 2 36,-1796
1n6/3pkp2/r4p2/p6p/P6P/4K3/2P5/2NR2R1 b - - 2 23,+756
4qbk1/p7/4P3/7p/2Pp3P/P7/2R3P1/4KBR1 b - - 0 28,-441
3k4/p4p2/8/8/Pb1P4/8/Rn2K2P/7B w - - 7 31,+853
3k1r2/R6p/2n5/8/3p1q1p/7P/1RP3P1/6K1 b - - 2 30,#-7
rnbqkbnr/ppp1pppp/8/3p4/P7/5N2/1PPPPPPP/RNBQKB1R b KQkq - 1 2,-29
r1b1k2r/pp1p1p2/n1p3p1/3p4/8/P1bP1PP1/R3PK1P/3Q1B1R b kq - 0 15,+292
1rb5/3pkp2/2p3p1/1p6/1PP2K2/8/3N4/8 b - - 0 31,-1336
1nbq4/r6P/p2k4/1pp2p2/5P2/2r5/PP2P3/RNBK1BN1 w - - 0 17,-548
n4k2/p4p2/2P5/7P/3rP3/8/2K2P2/5B1R b - - 1 37,+344
1r3bn1/1pk5/3p4/8/1pPpP1KP/1P6/3P2B1/1NB4R b - - 1 25,+462
r1bqkbnr/2pppp2/p1n4p/6p1/4PP2/PP6/2PP2PP/RNBQK1NR b KQkq - 0 6,-651
5bn1/2knp3/8/2p3P1/4P1P1/1P1P3r/rP1N4/2B1K3 w - - 0 24,-1251
rn6/8/1p2k3/4p3/p1P4p/PP1R1p1P/2K2R2/8 b - - 1 32,-40
8/7p/8/3K4/1pr3k1/8/PP3P1P/3R4 b - - 1 33,+318
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+38
8/6k1/8/2p2B2/2P5/N7/6P1/K7 b - - 10 49,+1012
8/8/r1P5/3k4/1K1P1p1p/8/8/8 b - - 4 49,-2222
rnb1kbnr/pppp2p1/4p3/5p1p/7q/1PP5/P2PPPPR/RNBQKBN1 b Qkq - 0 5,-835
4k3/2R5/p3r3/1p1p4/P7/7b/5r1B/3K4 w - - 2 35,-1047
1n3bkr/4R3/2p5/8/3P4/6n1/8/4K3 b - - 0 40,-1616
4k3/8/4n3/2pp4/8/Pp3K2/5n2/8 b - - 0 49,-1728
1rb1k1nr/p2n1pBp/2Qpp3/1N6/1P6/3P4/P3P2q/R2K1B1R b k - 0 17,+750
8/6k1/1p2b1p1/2nRP3/1n6/4P3/6r1/2K5 b - - 5 44,#-4
4kbnr/1pp1p3/6p1/6Np/1N3PPP/B1q5/4BK2/1r4R1 b - - 1 24,-2383
5k2/1p6/6pn/1pp5/5p2/1b1P1N2/7P/1NK2B1R b - - 5 27,+717
r4b2/1b3p2/1P1p1k2/p1p1p3/4P3/3P4/3q2K1/6N1 w - - 0 35,-2476
3k2n1/8/4P3/8/K6b/P2n4/1r6/8 b - - 17 46,#-2
5rR1/3kn2p/3p1p2/6q1/pK6/P1P5/1bb5/8 w - - 2 35,-3355
8/4k1N1/2r5/pp6/8/8/7q/K1R5 b - - 1 39,#-1
2b1k1nr/rppp1ppp/n3p3/p6Q/PP5N/4P3/2PNKPP1/R1B2B1R b k - 0 9,+1505
1nbqk1nr/rppQ1ppp/8/p3p3/1bP5/5N2/PP1PPPPP/RNB1KB1R b KQk - 0 5,-1200
1nbqkbnr/1ppppppp/8/8/5P2/N7/r1PPP1PP/R1BQKBNR b KQk - 1 4,-954
3r4/3k1n2/8/2P3N1/r7/2PB3P/7P/2K4R b - - 0 32,-131
br6/2p1k3/2n1N3/8/P1P3r1/8/5P2/RN3K2 b - - 0 25,-852
rnbqkbnr/p1pppppp/8/1p6/8/2P2N2/PP1PPPPP/RNBQKB1R b KQkq - 1 2,+50
8/R7/6R1/8/8/2N1k3/7P/4KB2 w - - 5 35,#+2
8/1k6/2r4N/4R3/7P/P1p4K/8/3B1r2 w - - 1 41,-43
1r6/3k4/p7/p7/P1P5/2K5/1P6/RN6 b - - 2 38,+705
8/5p2/n1R5/4pk2/1P5P/6r1/P5PK/b7 w - - 3 37,+70
2N5/6kp/4rn2/p3r1p1/P7/2R5/8/3K4 w - - 1 41,-1129
8/7R/3P4/1k6/4Q1P1/2P1P3/3B3P/5K1R w - - 1 33,#+3
rnbqkb1r/1p1pp1p1/p6p/2pn1p2/1P1P1P2/4BN2/P1P1P1PP/RN1QKBR1 w Qkq - 2 7,-40
3k4/3n4/8/1pp3p1/8/4K3/P7/B7 b - - 3 45,-562
1r1qbk2/N3pp2/3p3n/p1p5/r1P5/1P2PP2/3P1K2/8 w - - 2 21,-1670
r7/2pbnkB1/2npp3/p7/P1P5/5N2/R1P1PP2/3QKB2 b - - 2 21,+911
rnbqkb1r/ppppp1pp/5P2/5n2/8/5P2/PPPP2PP/RNBQKBNR b KQkq - 0 4,-101
8/1r1k4/R6r/1pPP4/4K1pp/1P6/6R1/6N1 b - - 3 50,+193
8/2N3kb/8/8/3n3R/B4PK1/3P3P/8 b - - 6 36,+822
4k3/8/8/3Q4/2P5/1P4PP/4PKBR/8 b - - 6 36,+7932
1r6/pp3p2/1b2k2p/2n5/P1P4P/5KPR/4P3/6N1 b - - 1 22,-792
4kb2/3n1Np1/1p2p3/2p2n2/2P2P2/1P1q4/r3PK2/RNB4r b - - 1 20,#-1
6n1/2prb3/P1k1p3/1p5p/p1pP1P1N/2PR3P/PB5P/2K5 b - - 4 28,-641
rnb4r/p7/2k1p3/5pBp/1P2P3/8/PP3PP1/R2QKBqR w - - 4 21,#+6
Bn5r/2k1nN2/pp1pp1p1/7p/8/1Q1PP2q/8/bKB5 b - - 1 28,-781
2bk2nr/2pp1pp1/1Q5p/4p3/q2P4/1P4P1/P1N1P2P/1RBK1B2 b - - 0 14,+525
7k/8/7p/1pP2p2/8/6P1/8/3NK1R1 b - - 2 35,+1653
1r3kn1/1p4Rp/8/3p4/p1N4P/8/P7/RK6 b - - 0 29,-190
8/8/3p2P1/k7/2b5/2P5/8/4K3 w - - 3 47,-496
8/8/8/2kPP3/1R4P1/B4P2/3K4/8 w - - 17 46,+5788
1k4n1/7r/5p2/1Pb2P1p/1P3P2/4rR2/5B2/7K w - - 0 34,-363
rnbqkbn1/3pp1p1/p1p2p2/6N1/N1pP1P1p/P7/1P2P1PP/RQ2KB1R w KQq - 0 11,#+1
r2qkb1r/ppp1pppp/4bn2/3pN3/8/NP2P3/PP1PQPPP/R1BK1B1R b kq - 0 7,+626
1B6/2n5/8/5p2/8/1kp5/8/2K5 b - - 10 49,-1135
4qk2/4p2p/2pp1B2/2n5/N2P4/7P/8/5BK1 b - - 0 31,-935
1n6/1k6/4b3/7P/3K1P2/8/5p2/8 w - - 0 50,-1526
8/8/3kp3/2p5/3P4/8/7K/2Q5 b - - 2 50,+1209
r1b2b1r/5ppp/pp1k1n1n/P1ppp3/7q/NP1PPPP1/R1PK2B1/2BQ2NR b - - 3 14,-146
1q3b1r/6p1/r2p3p/p3p2k/P7/K4P1b/4N2P/4R3 w - - 4 33,-2317
k7/8/4K3/8/2Pp4/8/8/n3b3 w - - 1 48,-1366
r1b5/5p1p/1p4R1/4B2p/Ppk1P3/4P3/2P2N2/2R3K1 w - - 0 33,#+1
4k3/8/1R6/4r2P/3K1p2/p3N3/P5p1/7R w - - 2 41,+1234
1rb2q1r/2pp2kp/1p6/5Pp1/1b1p2P1/5P1P/1P1PN3/1R2K2R w K - 1 19,-1428
rnbqk1nr/1p1pp2p/2p4b/p5P1/5p1P/1P1P4/P1PKP1P1/RNBQ1BNR w kq - 1 7,+568
rn1qkb1r/ppp1pppp/3p3n/8/1P2bP2/7N/PBPPP1PP/RN1QKB1R w KQkq - 5 5,+120
1B6/r2bk1b1/8/6Np/7Q/P7/1P6/RB1K4 b - - 0 33,+1435
2b2k1r/7p/5pp1/2Q3n1/8/7P/P3PP1P/R3KBNR b KQ - 0 21,+1746
4k3/3r4/7n/p4p2/2p2P2/P1P1K3/7P/2R2N2 w - - 4 30,+104
r1bq3r/4k2p/pp1p1p1P/4p1P1/PpB5/2R5/3P3P/1NB1KQNR b - - 1 24,+952
B1b1kbr1/p2p1p1p/n7/2p5/6pq/BP4n1/P1PPPP2/RN1QK1NR w KQ - 0 11,+1712
r7/3N4/p3p1r1/1p1p4/1P1P4/n7/6k1/3K4 w - - 3 42,-1413
B1k3n1/2p2p2/4p3/p7/8/BP6/P3Kr2/8 w - - 0 26,+386
8/8/1k6/8/4P1N1/8/2P1RP1B/6K1 b - - 8 50,+6981
rn2k1r1/p1p5/5p1p/8/1p4qP/bP2B3/2PPP2K/R2Q4 b q - 3 21,#-1
rnR5/p2p4/4pnk1/8/5Pp1/P7/P3P1P1/4KBN1 b - - 0 24,+131
2B2b2/5p2/3p4/6p1/4k1P1/4P3/4KP1r/B5N1 b - - 0 29,+692
r1bq1b1r/1pppn1kp/8/2n4P/3P4/4p3/PpP3P1/3RKBNR w K - 0 16,-1791
rnbqkbnr/1p1ppp1p/p7/2p3pQ/4P3/6P1/PPPPNP1P/RNB1KB1R w KQkq - 0 5,+158
8/3n4/8/6k1/8/2Q5/RP5P/1b2K3 w - - 0 31,+2121
r1Q1kbn1/pp1n4/3p4/1B3pp1/3K4/5P2/P2P2P1/RN5r b q - 0 17,-1567
2bkr3/3pn1pp/8/p4Q2/5P2/7P/3Np1B1/4K1NR w K - 0 24,#+1
rnbqkbnr/pppppp1p/6p1/8/8/7N/PPPPPPPP/RNBQKB1R w KQkq - 0 2,-28
r1bqk2r/pppppp1p/6pb/8/2P3nP/3P4/PPN1PPP1/R2QKBNR w KQkq - 4 7,-41
8/8/6r1/5k2/1R4p1/4K1p1/8/8 w - - 5 50,-7
rnbqk1nr/1ppp2pp/p6B/4p3/3P4/2bQ2pP/PP2PP2/RN1K1BNR b kq - 1 9,-487
r2qkbn1/1p2p2r/n4pN1/p2p4/P2p1B2/NP3b2/2P1P3/2RQKB2 w q - 0 14,-380
3k3r/4p3/4Pn2/p6p/2PKp3/7P/6P1/RNR5 b - - 0 24,+828
8/6k1/8/7p/1b1K4/3P1N2/6n1/8 w - - 2 44,-423
6R1/1p1kP3/5B2/3p3p/7P/4R3/4P1P1/b3KB2 b - - 2 32,+3077
b4bn1/pr4pr/1P1N1k1B/2PPpp2/P7/4RP2/4P1B1/4K3 w - - 4 34,-224
3B4/4b3/2K3kp/3R4/8/5P2/8/8 b - - 6 42,+856
8/1p4r1/3k3n/RP3p2/7P/4P3/2b1NK2/2B2R2 w - - 0 30,+872
1nb5/1p3p2/3bp3/2P1P3/1k6/3B3N/r4P1P/3q1K1R w - - 0 24,#-3
4rk2/6b1/n3P2p/2p1p1p1/2p3n1/2P5/1B6/7K w - - 3 39,-2189
